year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2020,06,0,0,0,7295303813,2721328557,4573975256
2020,07,0,0,0,7448650597,2638936132,4809714465
2020,08,0,0,0,7416366900,2613058239,4803308661
2020,09,0,0,0,7154034280,2661783500,4492250780
2020,10,0,0,0,7778298858,3041724497,4736574361
2020,11,0,0,0,7967683334,3095290471,4872392863
2020,12,0,0,0,7672099918,2868491144,4803608774
2021,01,0,0,0,8201654938,2997179790,5204475148
2021,02,0,0,0,7298754690,2761616525,4537138165
2021,03,0,0,0,8075703368,3141441360,4934262008
2021,04,0,0,0,7641809575,2882714492,4759095083
2021,05,0,0,0,7800995735,2824416177,4976579558
2021,06,0,0,0,7090481783,2505971366,4584510417
2021,07,0,0,0,7544493789,2765584368,4778909421
2021,08,0,0,0,7495607934,2763413934,4732194000
